,nonprofit,org_years,regionality,org_small_med_large,global_north_south_int,collects_data,tech_person,merl_person,cloud_storage,data_use_policy,org_agreements,[D] Our staff manually fill out spreadsheets (or other tabular data) from notes and observations.,"[D] Our staff uses software to collect data about people, relationships, prospects, etc.",[D] We also retained the original audio or video that accompanies the transcripts and tabular data.,"[D] We collect data using devices, such as phones, tablets,  or computers, and people submit/update information electronically.","[D] We have at least a hundred transcripts or records of interviews, testimonials, meetings, proceedings, surveys, or similar.",[U] Ask,[U] Assist,[U] Generat,[U] Interpret,[U] Organi,[U] Predict,[U] Translat,[U] Other,[U] I am not currently using AI,[W] Ask,[W] Assist,[W] Generat,[W] Interpret,[W] Organi,[W] Predict,[W] Translat,[W] Other,[W] We don't know yet!,cluster3,cluster2,ai_want_2+
707,0.9590958019375673,1.0,0.4983480176211454,0.2508108108108108,0.3737704918032787,0.8820960698689956,0.292358803986711,0.4296875,0.6755260243632336,0.7180910099889012,0.28888888888888886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
708,1.0,1.0,0.5,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0
709,1.0,1.0,0.4983480176211454,0.0,0.3737704918032787,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
710,1.0,0.08,0.5,0.0,1.0,1.0,0.292358803986711,0.4296875,0.6755260243632336,0.7180910099889012,0.28888888888888886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
711,1.0,0.2,1.0,0.5,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1
712,1.0,0.2,0.75,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1
713,0.0,0.013333333333333334,0.75,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1
714,1.0,0.05333333333333334,0.75,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1
715,1.0,0.02666666666666667,0.25,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1
716,1.0,0.12666666666666668,0.25,1.0,1.0,0.8820960698689956,0.292358803986711,0.4296875,0.6755260243632336,0.7180910099889012,0.28888888888888886,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,1
